Report Builder

"Principal Place of Performance State Code","Is Vendor Business Type - Economically Disadvantaged Women Owned Small Business","Is Vendor Business Type - Women Owned Small Business","NAICS Code","NAICS Description","Base and All Options Value (Total Contract Value)"
"CO","NO","NO","332420","METAL TANK (HEAVY GAUGE) MANUFACTURING","$1,017,162.77"
"CO","NO","NO","332439","OTHER METAL CONTAINER MANUFACTURING","$510,734.43"
"CO","NO","NO","332510","HARDWARE MANUFACTURING","$1,362,065.66"
"CO","NO","NO","332613","SPRING MANUFACTURING","$8,947.60"
"CO","NO","NO","332618","OTHER FABRICATED WIRE PRODUCT MANUFACTURING","$1,261.21"
"CO","NO","NO","332710","MACHINE SHOPS","$325,270.72"
"CO","NO","NO","332721","PRECISION TURNED PRODUCT MANUFACTURING","$420.00"
"CO","NO","NO","332722","BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING","$997,757.36"
"CO","NO","NO","332812","METAL COATING, ENGRAVING (EXCEPT JEWELRY AND SILVERWARE), AND ALLIED SERVICES TO MANUFACTURERS","$65,371.00"
"CO","NO","NO","332911","INDUSTRIAL VALVE MANUFACTURING","$246,241.78"
"CO","NO","NO","332913","PLUMBING FIXTURE FITTING AND TRIM MANUFACTURING","$8,100.00"
"CO","NO","NO","332919","OTHER METAL VALVE AND PIPE FITTING MANUFACTURING","$193,562.05"
"CO","NO","NO","332991","BALL AND ROLLER BEARING MANUFACTURING","$5,272,431.62"
"CO","NO","NO","332992","SMALL ARMS AMMUNITION MANUFACTURING","$286,263.84"
"CO","NO","NO","332993","AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING","$11,438,132.00"
"CO","NO","NO","332994","SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING","$5,366,741.68"
"CO","NO","NO","332996","FABRICATED PIPE AND PIPE FITTING MANUFACTURING","$169,544.83"
"CO","NO","NO","332999","ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING","$1,164,326.44"
"CO","NO","NO","333111","FARM MACHINERY AND EQUIPMENT MANUFACTURING","$534,094.64"
"CO","NO","NO","333112","LAWN AND GARDEN TRACTOR AND HOME LAWN AND GARDEN EQUIPMENT MANUFACTURING","$99,190.00"
"CO","NO","NO","333120","CONSTRUCTION MACHINERY MANUFACTURING","$1,683,258.42"
"CO","NO","NO","333131","MINING MACHINERY AND EQUIPMENT MANUFACTURING","$57,522.36"
"CO","NO","NO","333242","SEMICONDUCTOR MACHINERY MANUFACTURING","$106,042.35"
"CO","NO","NO","333244","PRINTING MACHINERY AND EQUIPMENT MANUFACTURING","$321,591.53"
"CO","NO","NO","333249","OTHER INDUSTRIAL MACHINERY MANUFACTURING","$51,428.79"
"CO","NO","NO","333293","PRINTING MACHINERY AND EQUIPMENT MANUFACTURING","$84,740.77"
"CO","NO","NO","333298","ALL OTHER INDUSTRIAL MACHINERY MANUFACTURING","$22,326.33"
"CO","NO","NO","333314","OPTICAL INSTRUMENT AND LENS MANUFACTURING","$736,247.25"
"CO","NO","NO","333316","PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING","$2,200,101.14"
"CO","NO","NO","333318","OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING","$1,261,513.62"
"CO","NO","NO","333319","OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING","$0.00"
"CO","NO","NO","333413","INDUSTRIAL AND COMMERCIAL FAN AND BLOWER AND AIR PURIFICATION EQUIPMENT MANUFACTURING","$2,644,861.30"
"CO","NO","NO","333414","HEATING EQUIPMENT (EXCEPT WARM AIR FURNACES) MANUFACTURING","$16,170.00"
"CO","NO","NO","333415","AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING","$1,583,960.18"
"CO","NO","NO","333511","INDUSTRIAL MOLD MANUFACTURING","$0.00"
"CO","NO","NO","333515","CUTTING TOOL AND MACHINE TOOL ACCESSORY MANUFACTURING","$100,524.30"
"CO","NO","NO","333517","MACHINE TOOL MANUFACTURING","$787,167.58"
"CO","NO","NO","333518","OTHER METALWORKING MACHINERY MANUFACTURING","$450,014.00"
"CO","NO","NO","333519","ROLLING MILL AND OTHER METALWORKING MACHINERY MANUFACTURING","$248,619.16"
"CO","NO","NO","333611","TURBINE AND TURBINE GENERATOR SET UNITS MANUFACTURING","$2,551,660.56"
"CO","NO","NO","333612","SPEED CHANGER, INDUSTRIAL HIGH-SPEED DRIVE, AND GEAR MANUFACTURING","$100,055.44"
"CO","NO","NO","333613","MECHANICAL POWER TRANSMISSION EQUIPMENT MANUFACTURING","$230,867.25"
"CO","NO","NO","333618","OTHER ENGINE EQUIPMENT MANUFACTURING","$1,855,552.56"
"CO","NO","NO","333911","PUMP AND PUMPING EQUIPMENT MANUFACTURING","$505,658.50"
"CO","NO","NO","333912","AIR AND GAS COMPRESSOR MANUFACTURING","$1,247,628.08"
"CO","NO","NO","333914","MEASURING, DISPENSING, AND OTHER PUMPING EQUIPMENT MANUFACTURING","$1,646,279.17"
"CO","NO","NO","333921","ELEVATOR AND MOVING STAIRWAY MANUFACTURING","$20,607.09"
"CO","NO","NO","333922","CONVEYOR AND CONVEYING EQUIPMENT MANUFACTURING","$371,294.00"
"CO","NO","NO","333923","OVERHEAD TRAVELING CRANE, HOIST, AND MONORAIL SYSTEM MANUFACTURING","$494,358.34"
"CO","NO","NO","333924","INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING","$1,789,140.09"
"CO","NO","NO","333992","WELDING AND SOLDERING EQUIPMENT MANUFACTURING","$473,512.03"
"CO","NO","NO","333993","PACKAGING MACHINERY MANUFACTURING","$67,905.10"
"CO","NO","NO","333996","FLUID POWER PUMP AND MOTOR MANUFACTURING","$442,805.07"
"CO","NO","NO","333997","SCALE AND BALANCE MANUFACTURING (2007), SCALE AND BALANCE (EXCEPT LABORATORY) MANUFACTURING (2002)","$125,723.25"
"CO","NO","NO","333999","ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING","$4,427,355.26"
"CO","NO","NO","334111","ELECTRONIC COMPUTER MANUFACTURING","$58,777,732.02"
"CO","NO","NO","334112","COMPUTER STORAGE DEVICE MANUFACTURING","$337,457.48"
"CO","NO","NO","334118","COMPUTER TERMINAL AND OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING","$329,069.04"
"CO","NO","NO","334210","TELEPHONE APPARATUS MANUFACTURING","$11,832.16"
"CO","NO","NO","334220","RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING","$6,022,131.21"
"CO","NO","NO","334290","OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING","$2,150,408.30"
"CO","NO","NO","334310","AUDIO AND VIDEO EQUIPMENT MANUFACTURING","$935,785.35"
"CO","NO","NO","334412","BARE PRINTED CIRCUIT BOARD MANUFACTURING","$2,458,220.00"
"CO","NO","NO","334413","SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING","$308,496.36"
"CO","NO","NO","334416","CAPACITOR, RESISTOR, COIL, TRANSFORMER, AND OTHER INDUCTOR MANUFACTURING","$3,703.00"
"CO","NO","NO","334417","ELECTRONIC CONNECTOR MANUFACTURING","$5,136.50"
"CO","NO","NO","334418","PRINTED CIRCUIT ASSEMBLY (ELECTRONIC ASSEMBLY) MANUFACTURING","$2,444,907.40"
"CO","NO","NO","334419","OTHER ELECTRONIC COMPONENT MANUFACTURING","$1,717,191.32"
"CO","NO","NO","334510","ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING","$5,709,828.12"
"CO","NO","NO","334511","SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING","$43,379,632.71"
"CO","NO","NO","334512","AUTOMATIC ENVIRONMENTAL CONTROL MANUFACTURING FOR RESIDENTIAL, COMMERCIAL, AND APPLIANCE USE","$436,039.98"
"CO","NO","NO","334513","INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES","$3,057,034.93"
"CO","NO","NO","334514","TOTALIZING FLUID METER AND COUNTING DEVICE MANUFACTURING","$42,912.84"
"CO","NO","NO","334515","INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS","$16,420,733.88"
"CO","NO","NO","334516","ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING","$7,459,195.00"
"CO","NO","NO","334517","IRRADIATION APPARATUS MANUFACTURING","$1,855,354.05"
"CO","NO","NO","334519","OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING","$13,409,769.47"
"CO","NO","NO","334613","BLANK MAGNETIC AND OPTICAL RECORDING MEDIA MANUFACTURING","$170,326.20"
"CO","NO","NO","334614","SOFTWARE AND OTHER PRERECORDED COMPACT DISC, TAPE, AND RECORD REPRODUCING","$614,774.90"
"CO","NO","NO","335110","ELECTRIC LAMP BULB AND PART MANUFACTURING","$871,894.41"
"CO","NO","NO","335122","COMMERCIAL, INDUSTRIAL, AND INSTITUTIONAL ELECTRIC LIGHTING FIXTURE MANUFACTURING","$374,246.04"
"CO","NO","NO","335129","OTHER LIGHTING EQUIPMENT MANUFACTURING","$169,118.73"
"CO","NO","NO","335220","MAJOR HOUSEHOLD APPLIANCE MANUFACTURING","$61,741.74"
"CO","NO","NO","335228","OTHER MAJOR HOUSEHOLD APPLIANCE MANUFACTURING","$35,123.12"
"CO","NO","NO","335311","POWER, DISTRIBUTION, AND SPECIALTY TRANSFORMER MANUFACTURING","$19,233,986.02"
"CO","NO","NO","335312","MOTOR AND GENERATOR MANUFACTURING","$1,281,205.59"
"CO","NO","NO","335313","SWITCHGEAR AND SWITCHBOARD APPARATUS MANUFACTURING","$1,125,361.78"
"CO","NO","NO","335314","RELAY AND INDUSTRIAL CONTROL MANUFACTURING","$190,243.30"
"CO","NO","NO","335911","STORAGE BATTERY MANUFACTURING","$3,322,993.97"
"CO","NO","NO","335912","PRIMARY BATTERY MANUFACTURING","$5,797,330.31"
"CO","NO","NO","335929","OTHER COMMUNICATION AND ENERGY WIRE MANUFACTURING","$31,440.00"
"CO","NO","NO","335931","CURRENT-CARRYING WIRING DEVICE MANUFACTURING","$15,106.88"
"CO","NO","NO","335999","ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING","$5,647,090.30"
"CO","NO","NO","336112","LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING","$283,374.04"
"CO","NO","NO","336211","MOTOR VEHICLE BODY MANUFACTURING","$315,784.11"
"CO","NO","NO","336212","TRUCK TRAILER MANUFACTURING","$288,057.16"
"CO","NO","NO","336214","TRAVEL TRAILER AND CAMPER MANUFACTURING","$113,076.20"
"CO","NO","NO","336310","MOTOR VEHICLE GASOLINE ENGINE AND ENGINE PARTS MANUFACTURING","$272,622.75"
"CO","NO","NO","336320","MOTOR VEHICLE ELECTRICAL AND ELECTRONIC EQUIPMENT MANUFACTURING","$1,622,876.65"
"CO","NO","NO","336330","MOTOR VEHICLE STEERING AND SUSPENSION COMPONENTS (EXCEPT SPRING) MANUFACTURING","$60,197.76"
"CO","NO","NO","336360","MOTOR VEHICLE SEATING AND INTERIOR TRIM MANUFACTURING","$94,368.07"
"CO","NO","NO","336390","OTHER MOTOR VEHICLE PARTS MANUFACTURING","$99,688.85"
"CO","NO","NO","336411","AIRCRAFT MANUFACTURING","$14,754,156.95"
"CO","NO","NO","336412","AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING","$12,893.00"
"CO","NO","NO","336413","OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","$84,357,894.02"
"CO","NO","NO","336414","GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING","$1,984,866,863.44"
"CO","NO","NO","336415","GUIDED MISSILE AND SPACE VEHICLE PROPULSION UNIT AND PROPULSION UNIT PARTS MANUFACTURING","$24,570.00"
"CO","NO","NO","336419","OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING","$6,406,635.25"
"CO","NO","NO","336611","SHIP BUILDING AND REPAIRING","$4,060,157.53"
"CO","NO","NO","336612","BOAT BUILDING","$66,290,457.84"
"CO","NO","NO","336991","MOTORCYCLE, BICYCLE, AND PARTS MANUFACTURING","$47,992.00"
"CO","NO","NO","336992","MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING","$175,221.12"
"CO","NO","NO","336999","ALL OTHER TRANSPORTATION EQUIPMENT MANUFACTURING","$380,854.64"
"CO","NO","NO","337122","NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING","$282,708.98"
"CO","NO","NO","337127","INSTITUTIONAL FURNITURE MANUFACTURING","$543,845.55"
"CO","NO","NO","337211","WOOD OFFICE FURNITURE MANUFACTURING","$282,455.27"
"CO","NO","NO","337214","OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING","$15,613,863.02"
"CO","NO","NO","337215","SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING","$373,634.02"
"CO","NO","NO","337910","MATTRESS MANUFACTURING","$18,915.60"
"CO","NO","NO","339112","SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING","$27,892,963.86"
"CO","NO","NO","339113","SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING","$104,128,523.45"
"CO","NO","NO","339114","DENTAL EQUIPMENT AND SUPPLIES MANUFACTURING","$221,309.39"
"CO","NO","NO","339115","OPHTHALMIC GOODS MANUFACTURING","$166,027.51"
"CO","NO","NO","339116","DENTAL LABORATORIES","$252,028.72"
"CO","NO","NO","339920","SPORTING AND ATHLETIC GOODS MANUFACTURING","$2,776,748.70"
"CO","NO","NO","339930","DOLL, TOY, AND GAME MANUFACTURING","$244,194.59"
"CO","NO","NO","339940","OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING","$70,731.21"
"CO","NO","NO","339944","CARBON PAPER AND INKED RIBBON MANUFACTURING","$285.60"
"CO","NO","NO","339950","SIGN MANUFACTURING","$531,325.29"
"CO","NO","NO","339991","GASKET, PACKING, AND SEALING DEVICE MANUFACTURING","$157,844.16"
"CO","NO","NO","339994","BROOM, BRUSH, AND MOP MANUFACTURING","$581,366.46"
"CO","NO","NO","339999","ALL OTHER MISCELLANEOUS MANUFACTURING","$18,135,450.03"
"CO","NO","NO","423110","AUTOMOBILE AND OTHER MOTOR VEHICLE MERCHANT WHOLESALERS","$34,707.54"
"CO","NO","NO","423130","TIRE AND TUBE MERCHANT WHOLESALERS","$88,281.82"
"CO","NO","NO","423310","LUMBER, PLYWOOD, MILLWORK, AND WOOD PANEL MERCHANT WHOLESALERS","$97,862.00"
"CO","NO","NO","423420","OFFICE EQUIPMENT MERCHANT WHOLESALERS","$10,600.00"
"CO","NO","NO","423430","COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS","$535,265.59"
"CO","NO","NO","423450","MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS","$11,358,100.16"
"CO","NO","NO","423490","OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS","$849,251.50"
"CO","NO","NO","423690","OTHER ELECTRONIC PARTS AND EQUIPMENT MERCHANT WHOLESALERS","$9,595.00"
"CO","NO","NO","423710","HARDWARE MERCHANT WHOLESALERS","$14,259.90"
"CO","NO","NO","423720","PLUMBING AND HEATING EQUIPMENT AND SUPPLIES (HYDRONICS) MERCHANT WHOLESALERS","$21,494.12"
"CO","NO","NO","423820","FARM AND GARDEN MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS","$16,082.00"
"CO","NO","NO","423830","INDUSTRIAL MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS","$0.00"
"CO","NO","NO","423860","TRANSPORTATION EQUIPMENT AND SUPPLIES (EXCEPT MOTOR VEHICLE) MERCHANT WHOLESALERS","$0.00"
"CO","NO","NO","423910","SPORTING AND RECREATIONAL GOODS AND SUPPLIES MERCHANT WHOLESALERS","$54,364.50"
"CO","NO","NO","424120","STATIONERY AND OFFICE SUPPLIES MERCHANT WHOLESALERS","$9,646.20"
"CO","NO","NO","424690","OTHER CHEMICAL AND ALLIED PRODUCTS MERCHANT WHOLESALERS","$67,581.36"
"CO","NO","NO","424710","PETROLEUM BULK STATIONS AND TERMINALS","$44,385.84"
"CO","NO","NO","424910","FARM SUPPLIES MERCHANT WHOLESALERS","$94,917.59"
"CO","NO","NO","425120","WHOLESALE TRADE AGENTS AND BROKERS","$0.00"
"CO","NO","NO","441228","MOTORCYCLE, ATV, AND ALL OTHER MOTOR VEHICLE DEALERS","$6,525.00"
"CO","NO","NO","441310","AUTOMOTIVE PARTS AND ACCESSORIES STORES","$5,138.10"
"CO","NO","NO","442110","FURNITURE STORES","$18,167.56"
"CO","NO","NO","443120","COMPUTER AND SOFTWARE STORES","$6,465,394.65"
"CO","NO","NO","444190","OTHER BUILDING MATERIAL DEALERS","$21,878.80"
"CO","NO","NO","445230","FRUIT AND VEGETABLE MARKETS","$12,328.89"
"CO","NO","NO","446199","ALL OTHER HEALTH AND PERSONAL CARE STORES","$202.71"
"CO","NO","NO","451110","SPORTING GOODS STORES","$11,327.99"
"CO","NO","NO","453210","OFFICE SUPPLIES AND STATIONERY STORES","$18,001.00"
"CO","NO","NO","453910","PET AND PET SUPPLIES STORES","$2,400.00"
"CO","NO","NO","454310","FUEL DEALERS","$67,483.82"
"CO","NO","NO","481111","SCHEDULED PASSENGER AIR TRANSPORTATION","$0.00"
"CO","NO","NO","481211","NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION","$2,979,180.81"
"CO","NO","NO","481212","NONSCHEDULED CHARTERED FREIGHT AIR TRANSPORTATION","$794,722,875.73"
"CO","NO","NO","481219","OTHER NONSCHEDULED AIR TRANSPORTATION","$82,338.10"
"CO","NO","NO","484121","GENERAL FREIGHT TRUCKING, LONG-DISTANCE, TRUCKLOAD","$21,080.00"
"CO","NO","NO","484122","GENERAL FREIGHT TRUCKING, LONG-DISTANCE, LESS THAN TRUCKLOAD","$4,500.00"
"CO","NO","NO","484210","USED HOUSEHOLD AND OFFICE GOODS MOVING","$1,603,550.11"
"CO","NO","NO","485210","INTERURBAN AND RURAL BUS TRANSPORTATION","$35,995.00"
"CO","NO","NO","485410","SCHOOL AND EMPLOYEE BUS TRANSPORTATION","$50,035.00"
"CO","NO","NO","485510","CHARTER BUS INDUSTRY","$107,197.00"
"CO","NO","NO","485999","ALL OTHER TRANSIT AND GROUND PASSENGER TRANSPORTATION","$41,000.00"
"CO","NO","NO","488119","OTHER AIRPORT OPERATIONS","$33,578.29"
"CO","NO","NO","488190","OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION","$5,775,646.09"
"CO","NO","NO","488210","SUPPORT ACTIVITIES FOR RAIL TRANSPORTATION","$331,931.25"
"CO","NO","NO","488330","NAVIGATIONAL SERVICES TO SHIPPING","$14,438.00"
"CO","NO","NO","488490","OTHER SUPPORT ACTIVITIES FOR ROAD TRANSPORTATION","$15,000.00"
"CO","NO","NO","488991","PACKING AND CRATING","$0.00"
"CO","NO","NO","491110","POSTAL SERVICE","$0.00"
"CO","NO","NO","492110","COURIERS AND EXPRESS DELIVERY SERVICES","$1,088,199.61"
"CO","NO","NO","492210","LOCAL MESSENGERS AND LOCAL DELIVERY","$481,540.63"
"CO","NO","NO","493110","GENERAL WAREHOUSING AND STORAGE","$3,290,273.40"
"CO","NO","NO","493190","OTHER WAREHOUSING AND STORAGE","$44,485,138.88"
"CO","NO","NO","511110","NEWSPAPER PUBLISHERS","$157,451.00"
"CO","NO","NO","511120","PERIODICAL PUBLISHERS","$672,471.51"
"CO","NO","NO","511130","BOOK PUBLISHERS","$1,885,539.63"
"CO","NO","NO","511199","ALL OTHER PUBLISHERS","$77,069.10"
"CO","NO","NO","511210","SOFTWARE PUBLISHERS","$202,286,698.34"
"CO","NO","NO","512110","MOTION PICTURE AND VIDEO PRODUCTION","$246,672.46"
"CO","NO","NO","512199","OTHER MOTION PICTURE AND VIDEO INDUSTRIES","$25,000.00"
"CO","NO","NO","515120","TELEVISION BROADCASTING","$43,702.25"
"CO","NO","NO","515210","CABLE AND OTHER SUBSCRIPTION PROGRAMMING","$51,805.25"
"CO","NO","NO","517110","WIRED TELECOMMUNICATIONS CARRIERS","$1,295,218,751.37"
"CO","NO","NO","517311","WIRED TELECOMMUNICATIONS CARRIERS","$10,204,582.41"
"CO","NO","NO","517312","WIRELESS TELECOMMUNICATIONS CARRIERS (EXCEPT SATELLITE)","$1,674,805.88"
"CO","NO","NO","517410","SATELLITE TELECOMMUNICATIONS","$213,979,440.14"
"CO","NO","NO","517911","TELECOMMUNICATIONS RESELLERS","$6,451,219.72"
"CO","NO","NO","517919","ALL OTHER TELECOMMUNICATIONS","$223,534,655.79"
"CO","NO","NO","518111","INTERNET SERVICE PROVIDERS","$0.00"
"CO","NO","NO","518210","DATA PROCESSING, HOSTING, AND RELATED SERVICES","$47,751,648.55"
"CO","NO","NO","519120","LIBRARIES AND ARCHIVES","$6,173,671.68"
"CO","NO","NO","519130","INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS","$6,878,707.45"
"CO","NO","NO","519190","ALL OTHER INFORMATION SERVICES","$8,767,109.16"
"CO","NO","NO","522110","COMMERCIAL BANKING","$9,999.00"
"CO","NO","NO","523910","MISCELLANEOUS INTERMEDIATION","$24,324.00"
"CO","NO","NO","523930","INVESTMENT ADVICE","$432,005.00"
"CO","NO","NO","524210","INSURANCE AGENCIES AND BROKERAGES","$25,979.00"
"CO","NO","NO","524292","THIRD PARTY ADMINISTRATION OF INSURANCE AND PENSION FUNDS","$3,173,400.00"
"CO","NO","NO","531110","LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS","$3,200,778.25"
"CO","NO","NO","531120","LESSORS OF NONRESIDENTIAL BUILDINGS (EXCEPT MINIWAREHOUSES)","$239,750.14"
"CO","NO","NO","531190","LESSORS OF OTHER REAL ESTATE PROPERTY","$7,572.65"
"CO","NO","NO","531210","OFFICES OF REAL ESTATE AGENTS AND BROKERS","$56,762.26"
"CO","NO","NO","531311","RESIDENTIAL PROPERTY MANAGERS","$216,965.25"
"CO","NO","NO","531312","NONRESIDENTIAL PROPERTY MANAGERS","$0.00"
"CO","NO","NO","531320","OFFICES OF REAL ESTATE APPRAISERS","$103,700.00"
"CO","NO","NO","531390","OTHER ACTIVITIES RELATED TO REAL ESTATE","$632,831.05"
"CO","NO","NO","532111","PASSENGER CAR RENTAL","$990,879.87"
"CO","NO","NO","532112","PASSENGER CAR LEASING","$69,421.47"
"CO","NO","NO","532120","TRUCK, UTILITY TRAILER, AND RV (RECREATIONAL VEHICLE) RENTAL AND LEASING","$14,363.70"
"CO","NO","NO","532283","HOME HEALTH EQUIPMENT RENTAL","$1,655,326.67"
"CO","NO","NO","532412","CONSTRUCTION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING","$221,653.25"
"CO","NO","NO","532420","OFFICE MACHINERY AND EQUIPMENT RENTAL AND LEASING","$1,632,815.85"
"CO","NO","NO","532490","OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING","$184,312.19"
"CO","NO","NO","541110","OFFICES OF LAWYERS","$343,013.71"
"CO","NO","NO","541191","TITLE ABSTRACT AND SETTLEMENT OFFICES","$11,070.60"
"CO","NO","NO","541199","ALL OTHER LEGAL SERVICES","$4,976,989.71"
"CO","NO","NO","541211","OFFICES OF CERTIFIED PUBLIC ACCOUNTANTS","$6,950,039.48"
"CO","NO","NO","541310","ARCHITECTURAL SERVICES","$24,401,401.26"
"CO","NO","NO","541320","LANDSCAPE ARCHITECTURAL SERVICES","$4,444,746.16"
"CO","NO","NO","541330","ENGINEERING SERVICES","$1,779,148,467.30"
"CO","NO","NO","541360","GEOPHYSICAL SURVEYING AND MAPPING SERVICES","$12,907,369.44"
"CO","NO","NO","541370","SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES","$18,852,587.24"
"CO","NO","NO","541380","TESTING LABORATORIES","$19,326,557.33"
"CO","NO","NO","541430","GRAPHIC DESIGN SERVICES","$84,624.94"
"CO","NO","NO","541490","OTHER SPECIALIZED DESIGN SERVICES","$19,000.00"
"CO","NO","NO","541511","CUSTOM COMPUTER PROGRAMMING SERVICES","$556,697,879.21"
"CO","NO","NO","541512","COMPUTER SYSTEMS DESIGN SERVICES","$881,744,814.33"
"CO","NO","NO","541513","COMPUTER FACILITIES MANAGEMENT SERVICES","$28,098,041.37"
"CO","NO","NO","541519","OTHER COMPUTER RELATED SERVICES","$1,017,851,748.02"
"CO","NO","NO","541611","ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES","$32,489,771.58"
"CO","NO","NO","541612","HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)","$269,648.48"
"CO","NO","NO","541613","MARKETING CONSULTING SERVICES","$269,737.38"
"CO","NO","NO","541614","PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES","$3,333,749.35"
"CO","NO","NO","541618","OTHER MANAGEMENT CONSULTING SERVICES","$3,876,991.28"
"CO","NO","NO","541620","ENVIRONMENTAL CONSULTING SERVICES","$42,141,793.16"
"CO","NO","NO","541690","OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES","$66,984,894.93"
"CO","NO","NO","541710","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES","$14,702,853.00"
"CO","NO","NO","541711","RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY","$2,500,486,704.00"
"CO","NO","NO","541712","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)","$597,675,716.40"
"CO","NO","NO","541713","RESEARCH AND DEVELOPMENT IN NANOTECHNOLOGY","$75,503.62"
"CO","NO","NO","541714","RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY (EXCEPT NANOBIOTECHNOLOGY)","$4,376,606.49"
"CO","NO","NO","541715","RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","$492,947,017.24"
"CO","NO","NO","541720","RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES","$6,036,168.37"
"CO","NO","NO","541810","ADVERTISING AGENCIES","$239,456.53"
"CO","NO","NO","541840","MEDIA REPRESENTATIVES","$0.00"
"CO","NO","NO","541850","OUTDOOR ADVERTISING","$820,355.00"
"CO","NO","NO","541890","OTHER SERVICES RELATED TO ADVERTISING","$82,289.96"
"CO","NO","NO","541910","MARKETING RESEARCH AND PUBLIC OPINION POLLING","$362,843.32"
"CO","NO","NO","541930","TRANSLATION AND INTERPRETATION SERVICES","$6,637,288.32"
"CO","NO","NO","541940","VETERINARY SERVICES","$857,382.93"
"CO","NO","NO","541990","ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","$1,149,551,185.25"
"CO","NO","NO","561110","OFFICE ADMINISTRATIVE SERVICES","$7,998,001.45"
